Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,119921,0
Andalucía,Almería,Votos en blanco,4197,0
Andalucía,Almería,Votos nulos,1553,0
Andalucía,Almería,PSOE,145868,3
Andalucía,Almería,PP,135434,2
Andalucía,Almería,IU,9522,0
Andalucía,Almería,PA,7190,0
Andalucía,Almería,CENB,273,0
Andalucía,Almería,CDS,257,0
Andalucía,Almería,PSA,773,0
Andalucía,Almería,PH,205,0
Andalucía,Almería,IR,116,0
Andalucía,Almería,PFyV,172,0
Andalucía,Almería,DN,128,0
Andalucía,Almería,FE de las JONS,171,0
Andalucía,Almería,FE,138,0
Andalucía,Almería,MSR,108,0
Andalucía,Almería,PADE,135,0
Andalucía,Almería,A,126,0
Andalucía,Almería,PTPRE,122,0
Andalucía,Almería,A-IZ,901,0
Andalucía,Cádiz,Abstención,278961,0
Andalucía,Cádiz,Votos en blanco,11634,0
Andalucía,Cádiz,Votos nulos,4577,0
Andalucía,Cádiz,PSOE,326152,6
Andalucía,Cádiz,PP,216416,3
Andalucía,Cádiz,IU,38611,0
Andalucía,Cádiz,PA,33592,0
Andalucía,Cádiz,CENB,1089,0
Andalucía,Cádiz,CDS,536,0
Andalucía,Cádiz,PSA,9975,0
Andalucía,Cádiz,PH,713,0
Andalucía,Cádiz,IR,670,0
Andalucía,Cádiz,DN,477,0
Andalucía,Cádiz,FE de las JONS,494,0
Andalucía,Cádiz,FE,377,0
Andalucía,Cádiz,MSR,309,0
Andalucía,Cádiz,A,739,0
Andalucía,Cádiz,PTPRE,1355,0
Andalucía,Cádiz,PPCr,500,0
Andalucía,Córdoba,Abstención,136068,0
Andalucía,Córdoba,Votos en blanco,8256,0
Andalucía,Córdoba,Votos nulos,3096,0
Andalucía,Córdoba,PSOE,246324,4
Andalucía,Córdoba,PP,166665,3
Andalucía,Córdoba,IU,47908,0
Andalucía,Córdoba,PA,19648,0
Andalucía,Córdoba,CENB,736,0
Andalucía,Córdoba,CDS,390,0
Andalucía,Córdoba,PSA,1558,0
Andalucía,Córdoba,PH,390,0
Andalucía,Córdoba,IR,356,0
Andalucía,Córdoba,PFyV,413,0
Andalucía,Córdoba,DN,190,0
Andalucía,Córdoba,FE de las JONS,179,0
Andalucía,Córdoba,FE,161,0
Andalucía,Córdoba,MSR,134,0
Andalucía,Córdoba,PADE,227,0
Andalucía,Córdoba,A,456,0
Andalucía,Granada,Abstención,168582,0
Andalucía,Granada,Votos en blanco,8276,0
Andalucía,Granada,Votos nulos,3300,0
Andalucía,Granada,PSOE,268870,4
Andalucía,Granada,PP,193484,3
Andalucía,Granada,IU,31227,0
Andalucía,Granada,PA,14030,0
Andalucía,Granada,CENB,682,0
Andalucía,Granada,CDS,480,0
Andalucía,Granada,PSA,2490,0
Andalucía,Granada,PH,418,0
Andalucía,Granada,IR,244,0
Andalucía,Granada,PFyV,415,0
