Region,Constituency,Option,Votes,Seats
Andalucía,Cádiz,Abstención,341218,0
Andalucía,Cádiz,Votos en blanco,6781,0
Andalucía,Cádiz,Votos nulos,5863,0
Andalucía,Cádiz,PP         ,179319,3
Andalucía,Cádiz,PSOE       ,180895,3
Andalucía,Cádiz,C's        ,94962,1
Andalucía,Cádiz,PODEMOS    ,130734,2
Andalucía,Cádiz,EN COMÚ    ,0,0
Andalucía,Cádiz,IU-UPeC    ,38881,0
Andalucía,Cádiz,PODEMOS-COM,0,0
Andalucía,Cádiz,ERC-CATSI  ,0,0
Andalucía,Cádiz,DL         ,0,0
Andalucía,Cádiz,PODEMOS-En ,0,0
Andalucía,Cádiz,EAJ-PNV    ,0,0
Andalucía,Cádiz,PACMA      ,7591,0
Andalucía,Cádiz,EH Bildu   ,0,0
Andalucía,Cádiz,UPYD       ,3637,0
Andalucía,Cádiz,CCa-PNC    ,0,0
Andalucía,Cádiz,NÓS        ,0,0
Andalucía,Cádiz,unio.cat   ,0,0
Andalucía,Cádiz,VOX        ,1493,0
Andalucía,Cádiz,RECORTES CE,1042,0
Andalucía,Cádiz,MÉS        ,0,0
Andalucía,Cádiz,PCPE       ,780,0
Andalucía,Cádiz,GBAI       ,0,0
Andalucía,Cádiz,EL PI      ,0,0
Andalucía,Cádiz,CCD        ,0,0
Andalucía,Cádiz,EB         ,0,0
Andalucía,Cádiz,FE de las J,0,0
Andalucía,Cádiz,X LA IZQUIE,0,0
Andalucía,Cádiz,SOMVAL     ,0,0
Andalucía,Cádiz,PUM+J      ,0,0
Andalucía,Cádiz,SAIn       ,0,0
Andalucía,Cádiz,CENTRO MODE,0,0
Andalucía,Cádiz,PT         ,0,0
Andalucía,Cádiz,CANARIAS DE,0,0
Andalucía,Cádiz,P-LIB      ,422,0
Andalucía,Cádiz,PH         ,0,0
Andalucía,Cádiz,ARAPV      ,0,0
Andalucía,Cádiz,EU-eX      ,0,0
Andalucía,Cádiz,PCOE       ,0,0
Andalucía,Cádiz,DN         ,0,0
Andalucía,Cádiz,IFem       ,0,0
Andalucía,Cádiz,PREPAL     ,0,0
Andalucía,Cádiz,EN POSITIU ,0,0
Andalucía,Cádiz,CILUS      ,0,0
Andalucía,Cádiz,CRA        ,0,0
Andalucía,Cádiz,Ln         ,0,0
Andalucía,Cádiz,AVANT      ,0,0
Andalucía,Cádiz,mlgXSÍ     ,0,0
Andalucía,Cádiz,PFyV       ,0,0
Andalucía,Cádiz,AJU        ,0,0
Andalucía,Cádiz,Independien,0,0
Andalucía,Cádiz,FDEE       ,0,0
Andalucía,Cádiz,SOLUCIONA  ,0,0
Andalucía,Cádiz,"JS,PC      ",0,0
Andalucía,Cádiz,+MAS+      ,0,0
Andalucía,Cádiz,PLD        ,0,0
Andalucía,Cádiz,OE         ,0,0
Andalucía,Córdoba,Abstención,179031,0
Andalucía,Córdoba,Votos en blanco,4481,0
Andalucía,Córdoba,Votos nulos,5044,0
Andalucía,Córdoba,PP         ,142101,2
Andalucía,Córdoba,PSOE       ,149851,2
Andalucía,Córdoba,C's        ,55812,1
Andalucía,Córdoba,PODEMOS    ,68740,1
Andalucía,Córdoba,EN COMÚ    ,0,0
Andalucía,Córdoba,IU-UPeC    ,37650,0
Andalucía,Córdoba,PODEMOS-COM,0,0
Andalucía,Córdoba,ERC-CATSI  ,0,0
Andalucía,Córdoba,DL         ,0,0
Andalucía,Córdoba,PODEMOS-En ,0,0
Andalucía,Córdoba,EAJ-PNV    ,0,0
Andalucía,Córdoba,PACMA      ,3529,0
Andalucía,Córdoba,EH Bildu   ,0,0
Andalucía,Córdoba,UPYD       ,2069,0
Andalucía,Córdoba,CCa-PNC    ,0,0
Andalucía,Córdoba,NÓS        ,0,0
Andalucía,Córdoba,unio.cat   ,0,0
Andalucía,Córdoba,VOX        ,0,0
Andalucía,Córdoba,RECORTES CE,605,0
Andalucía,Córdoba,MÉS        ,0,0
Andalucía,Córdoba,PCPE       ,876,0
Andalucía,Córdoba,GBAI       ,0,0
Andalucía,Córdoba,EL PI      ,0,0
Andalucía,Córdoba,CCD        ,0,0
Andalucía,Córdoba,EB         ,631,0
Andalucía,Córdoba,FE de las J,494,0
Andalucía,Córdoba,X LA IZQUIE,0,0
Andalucía,Córdoba,SOMVAL     ,0,0
Andalucía,Córdoba,PUM+J      ,0,0
Andalucía,Córdoba,SAIn       ,0,0
Andalucía,Córdoba,CENTRO MODE,0,0
Andalucía,Córdoba,PT         ,0,0
Andalucía,Córdoba,CANARIAS DE,0,0
Andalucía,Córdoba,P-LIB      ,0,0
Andalucía,Córdoba,PH         ,0,0
Andalucía,Córdoba,ARAPV      ,0,0
Andalucía,Córdoba,EU-eX      ,0,0
Andalucía,Córdoba,PCOE       ,813,0
Andalucía,Córdoba,DN         ,0,0
Andalucía,Córdoba,IFem       ,0,0
Andalucía,Córdoba,PREPAL     ,0,0
Andalucía,Córdoba,EN POSITIU ,0,0
Andalucía,Córdoba,CILUS      ,0,0
Andalucía,Córdoba,CRA        ,0,0
Andalucía,Córdoba,Ln         ,0,0
Andalucía,Córdoba,AVANT      ,0,0
Andalucía,Córdoba,mlgXSÍ     ,0,0
Andalucía,Córdoba,PFyV       ,0,0
Andalucía,Córdoba,AJU        ,0,0
Andalucía,Córdoba,Independien,0,0
Andalucía,Córdoba,FDEE       ,0,0
Andalucía,Córdoba,SOLUCIONA  ,0,0
Andalucía,Córdoba,"JS,PC      ",0,0
Andalucía,Córdoba,+MAS+      ,0,0
Andalucía,Córdoba,PLD        ,0,0
Andalucía,Córdoba,OE         ,0,0
Andalucía,Almería,Abstención,177877,0
Andalucía,Almería,Votos en blanco,2211,0
Andalucía,Almería,Votos nulos,2419,0
Andalucía,Almería,PP         ,117635,2
Andalucía,Almería,PSOE       ,89434,2
Andalucía,Almería,C's        ,44494,1
Andalucía,Almería,PODEMOS    ,39780,1
Andalucía,Almería,EN COMÚ    ,0,0
Andalucía,Almería,IU-UPeC    ,10828,0
Andalucía,Almería,PODEMOS-COM,0,0
Andalucía,Almería,ERC-CATSI  ,0,0
Andalucía,Almería,DL         ,0,0
Andalucía,Almería,PODEMOS-En ,0,0
Andalucía,Almería,EAJ-PNV    ,0,0
Andalucía,Almería,PACMA      ,2126,0
Andalucía,Almería,EH Bildu   ,0,0
Andalucía,Almería,UPYD       ,1532,0
Andalucía,Almería,CCa-PNC    ,0,0
Andalucía,Almería,NÓS        ,0,0
Andalucía,Almería,unio.cat   ,0,0
Andalucía,Almería,VOX        ,558,0
Andalucía,Almería,RECORTES CE,297,0
Andalucía,Almería,MÉS        ,0,0
Andalucía,Almería,PCPE       ,318,0
Andalucía,Almería,GBAI       ,0,0
Andalucía,Almería,EL PI      ,0,0
Andalucía,Almería,CCD        ,0,0
Andalucía,Almería,EB         ,0,0
Andalucía,Almería,FE de las J,343,0
Andalucía,Almería,X LA IZQUIE,0,0
Andalucía,Almería,SOMVAL     ,0,0
Andalucía,Almería,PUM+J      ,176,0
Andalucía,Almería,SAIn       ,0,0
Andalucía,Almería,CENTRO MODE,0,0
Andalucía,Almería,PT         ,0,0
Andalucía,Almería,CANARIAS DE,0,0
Andalucía,Almería,P-LIB      ,0,0
Andalucía,Almería,PH         ,0,0
Andalucía,Almería,ARAPV      ,0,0
Andalucía,Almería,EU-eX      ,0,0
Andalucía,Almería,PCOE       ,0,0
Andalucía,Almería,DN         ,164,0
Andalucía,Almería,IFem       ,0,0
Andalucía,Almería,PREPAL     ,0,0
Andalucía,Almería,EN POSITIU ,0,0
Andalucía,Almería,CILUS      ,0,0
Andalucía,Almería,CRA        ,0,0
Andalucía,Almería,Ln         ,0,0
Andalucía,Almería,AVANT      ,0,0
Andalucía,Almería,mlgXSÍ     ,0,0
Andalucía,Almería,PFyV       ,0,0
