Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,93791,0
Andalucía,Almería,Votos en blanco,360,0
Andalucía,Almería,Votos nulos,1590,0
Andalucía,Almería,UCD,80854,3
Andalucía,Almería,PSOE,67782,2
Andalucía,Almería,PCE,13534,0
Andalucía,Almería,CD,8067,0
Andalucía,Almería,UN,3097,0
Andalucía,Almería,PSA-PA,5074,0
Andalucía,Almería,PTE,872,0
Andalucía,Almería,ORT,302,0
Andalucía,Almería,MC-OIC,731,0
Andalucía,Almería,IR,413,0
Andalucía,Almería,PCARL,144,0
Andalucía,Almería,PLIB,1484,0
Andalucía,Almería,ULE,185,0
Andalucía,Cádiz,Abstención,221720,0
Andalucía,Cádiz,Votos en blanco,972,0
Andalucía,Cádiz,Votos nulos,8053,0
Andalucía,Cádiz,UCD,121800,2
Andalucía,Cádiz,PSOE,124693,3
Andalucía,Cádiz,PCE,43824,1
Andalucía,Cádiz,CD,13465,0
Andalucía,Cádiz,UN,4538,0
Andalucía,Cádiz,PSA-PA,81598,2
Andalucía,Cádiz,PTE,13254,0
Andalucía,Cádiz,PSOE-H,1732,0
Andalucía,Cádiz,ORT,970,0
Andalucía,Cádiz,MC-OIC,1040,0
Andalucía,Cádiz,IR,729,0
Andalucía,Cádiz,PCARL,661,0
Andalucía,Cádiz,OCEBR-UCE,1133,0
Andalucía,Cádiz,PCT,1458,0
Andalucía,Cádiz,LCR,767,0
Andalucía,Cádiz,FJONSA,617,0
Andalucía,Cádiz,ARDE,707,0
Andalucía,Córdoba,Abstención,139006,0
Andalucía,Córdoba,Votos en blanco,568,0
Andalucía,Córdoba,Votos nulos,3778,0
Andalucía,Córdoba,UCD,110734,3
Andalucía,Córdoba,PSOE,111237,3
Andalucía,Córdoba,PCE,70554,1
Andalucía,Córdoba,CD,20909,0
Andalucía,Córdoba,UN,7427,0
Andalucía,Córdoba,PSA-PA,36826,0
Andalucía,Córdoba,PTE,4080,0
Andalucía,Córdoba,PSOE-H,3168,0
Andalucía,Córdoba,ORT,467,0
Andalucía,Córdoba,MC-OIC,1078,0
Andalucía,Córdoba,IR,581,0
Andalucía,Córdoba,OCEBR-UCE,1063,0
Andalucía,Córdoba,PCT,634,0
Andalucía,Córdoba,FJONSA,523,0
Andalucía,Granada,Abstención,164064,0
Andalucía,Granada,Votos en blanco,440,0
Andalucía,Granada,Votos nulos,2660,0
Andalucía,Granada,UCD,131107,3
Andalucía,Granada,PSOE,128002,3
Andalucía,Granada,PCE,45384,1
Andalucía,Granada,CD,16958,0
Andalucía,Granada,UN,4381,0
Andalucía,Granada,PSA-PA,22136,0
Andalucía,Granada,PTE,3161,0
Andalucía,Granada,PSOE-H,2123,0
Andalucía,Granada,ORT,304,0
Andalucía,Granada,MC-OIC,1066,0
Andalucía,Granada,IR,390,0
Andalucía,Granada,PCARL,174,0
Andalucía,Granada,OCEBR-UCE,1412,0
Andalucía,Granada,LCR,430,0
Andalucía,Granada,ULE,187,0
Andalucía,Granada,POC,418,0
Andalucía,Huelva,Abstención,95577,0
Andalucía,Huelva,Votos en blanco,332,0
Andalucía,Huelva,Votos nulos,2094,0
Andalucía,Huelva,UCD,68756,3
Andalucía,Huelva,PSOE,65302,2
Andalucía,Huelva,PCE,12913,0
Andalucía,Huelva,CD,6080,0
Andalucía,Huelva,UN,3010,0
Andalucía,Huelva,PSA-PA,17720,0
Andalucía,Huelva,PTE,1099,0
Andalucía,Huelva,PSOE-H,2009,0
Andalucía,Huelva,ORT,4330,0
Andalucía,Huelva,MC-OIC,505,0
Andalucía,Huelva,PCARL,375,0
Andalucía,Huelva,OCEBR-UCE,393,0
Andalucía,Huelva,PCT,539,0
Andalucía,Huelva,LCR,718,0
Andalucía,Huelva,FJONSA,314,0
Andalucía,Huelva,ULE,9,0
Andalucía,Jaén,Abstención,132667,0
Andalucía,Jaén,Votos en blanco,357,0
Andalucía,Jaén,Votos nulos,3251,0
Andalucía,Jaén,UCD,111209,3
Andalucía,Jaén,PSOE,137861,3
Andalucía,Jaén,PCE,42466,1
Andalucía,Jaén,CD,11752,0
Andalucía,Jaén,UN,9294,0
Andalucía,Jaén,PSA-PA,11335,0
Andalucía,Jaén,PTE,1388,0
Andalucía,Jaén,PSOE-H,1088,0
Andalucía,Jaén,ORT,398,0
Andalucía,Jaén,MC-OIC,528,0
Andalucía,Jaén,IR,422,0
Andalucía,Jaén,OCEBR-UCE,398,0
Andalucía,Jaén,PCT,579,0
Andalucía,Málaga,Abstención,232719,0
Andalucía,Málaga,Votos en blanco,877,0
Andalucía,Málaga,Votos nulos,5978,0
Andalucía,Málaga,UCD,120201,3
Andalucía,Málaga,PSOE,148497,3
Andalucía,Málaga,PCE,53036,1
Andalucía,Málaga,CD,16304,0
Andalucía,Málaga,UN,7338,0
Andalucía,Málaga,PSA-PA,49552,1
Andalucía,Málaga,PTE,6948,0
Andalucía,Málaga,PSOE-H,4628,0
Andalucía,Málaga,ORT,605,0
Andalucía,Málaga,MC-OIC,1408,0
Andalucía,Málaga,IR,953,0
Andalucía,Málaga,PCARL,466,0
Andalucía,Málaga,OCEBR-UCE,932,0
Andalucía,Málaga,PCT,1174,0
Andalucía,Málaga,ULE,260,0
Andalucía,Sevilla,Abstención,279954,0
Andalucía,Sevilla,Votos en blanco,1051,0
Andalucía,Sevilla,Votos nulos,6677,0
Andalucía,Sevilla,UCD,191099,4
Andalucía,Sevilla,PSOE,203468,4
Andalucía,Sevilla,PCE,110731,2
Andalucía,Sevilla,CD,32428,0
Andalucía,Sevilla,UN,9225,0
Andalucía,Sevilla,PSA-PA,101601,2
Andalucía,Sevilla,PTE,27337,0
Andalucía,Sevilla,PSOE-H,3706,0
Andalucía,Sevilla,ORT,1086,0
Andalucía,Sevilla,MC-OIC,1031,0
Andalucía,Sevilla,IR,741,0
Andalucía,Sevilla,OCEBR-UCE,4271,0
Andalucía,Sevilla,PCT,1134,0
Andalucía,Sevilla,LCR,774,0
