Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,53593,0
Andalucía,Almería,Votos en blanco,360,0
Andalucía,Almería,Votos nulos,1160,0
Andalucía,Almería,UCD,92019,3
Andalucía,Almería,PSOE,50723,2
Andalucía,Almería,PCE,11926,0
Andalucía,Almería,AP,14886,0
Andalucía,Almería,PSP-US,5789,0
Andalucía,Almería,FDC-EDC,5553,0
Andalucía,Almería,FDI,770,0
Andalucía,Almería,ASDCI,892,0
Andalucía,Almería,AN18,775,0
Andalucía,Almería,RSE,771,0
Andalucía,Almería,FJONSA,718,0
Andalucía,Cádiz,Abstención,138260,0
Andalucía,Cádiz,Votos en blanco,1387,0
Andalucía,Cádiz,Votos nulos,7993,0
Andalucía,Cádiz,UCD,112927,2
Andalucía,Cádiz,PSOE,150896,4
Andalucía,Cádiz,PCE,41809,1
Andalucía,Cádiz,AP,20424,0
Andalucía,Cádiz,PSP-US,40232,1
Andalucía,Cádiz,FDC-EDC,5216,0
Andalucía,Cádiz,FDI,10808,0
Andalucía,Cádiz,RSE,2404,0
Andalucía,Cádiz,FUT,254,0
Andalucía,Cádiz,FJONS,1979,0
Andalucía,Cádiz,URA,13396,0
Andalucía,Cádiz,ANEPA-CP,3635,0
Andalucía,Cádiz,MS,1498,0
Andalucía,Cádiz,CANDIDATURA INDEPENDIENTE,6472,0
Andalucía,Córdoba,Abstención,85713,0
Andalucía,Córdoba,Votos en blanco,405,0
Andalucía,Córdoba,Votos nulos,3647,0
Andalucía,Córdoba,UCD,117482,3
Andalucía,Córdoba,PSOE,122361,3
Andalucía,Córdoba,PCE,59668,1
Andalucía,Córdoba,AP,33616,0
Andalucía,Córdoba,PSP-US,13195,0
Andalucía,Córdoba,FDC-EDC,2984,0
Andalucía,Córdoba,FDI,4056,0
Andalucía,Córdoba,ASDCI,923,0
Andalucía,Córdoba,AN18,1718,0
Andalucía,Córdoba,RSE,1413,0
Andalucía,Córdoba,FJONSA,693,0
Andalucía,Córdoba,FUT,1463,0
Andalucía,Córdoba,CANDIDATURA INDEPENDIENTE,1684,0
Andalucía,Granada,Abstención,105357,0
Andalucía,Granada,Votos en blanco,875,0
Andalucía,Granada,Votos nulos,3202,0
Andalucía,Granada,UCD,152498,4
Andalucía,Granada,PSOE,111746,3
Andalucía,Granada,PCE,33879,0
Andalucía,Granada,AP,24573,0
Andalucía,Granada,PSP-US,12567,0
Andalucía,Granada,FDC-EDC,3104,0
Andalucía,Granada,FDI,4235,0
Andalucía,Granada,ASDCI,2146,0
Andalucía,Granada,RSE,1704,0
Andalucía,Granada,MS,1066,0
Andalucía,Huelva,Abstención,65596,0
Andalucía,Huelva,Votos en blanco,295,0
Andalucía,Huelva,Votos nulos,2710,0
Andalucía,Huelva,UCD,89494,3
Andalucía,Huelva,PSOE,63172,2
Andalucía,Huelva,PCE,10217,0
Andalucía,Huelva,AP,9415,0
Andalucía,Huelva,PSP-US,4819,0
Andalucía,Huelva,FDC-EDC,2604,0
Andalucía,Huelva,FDI,988,0
Andalucía,Huelva,ASDCI,2214,0
Andalucía,Huelva,AET,2974,0
Andalucía,Huelva,RSE,1059,0
Andalucía,Jaén,Abstención,86529,0
Andalucía,Jaén,Votos en blanco,269,0
Andalucía,Jaén,Votos nulos,2436,0
Andalucía,Jaén,UCD,103697,3
Andalucía,Jaén,PSOE,123708,4
Andalucía,Jaén,PCE,29847,0
Andalucía,Jaén,AP,26422,0
Andalucía,Jaén,PSP-US,6476,0
Andalucía,Jaén,FDC-EDC,3071,0
Andalucía,Jaén,FDI,1278,0
Andalucía,Jaén,ASDCI,2135,0
Andalucía,Jaén,FJONSA,807,0
Andalucía,Jaén,URA,5291,0
Andalucía,Jaén,ASA,8439,0
Andalucía,Jaén,CJA,1308,0
Andalucía,Jaén,PAE,833,0
Andalucía,Jaén,PLI,596,0
Andalucía,Málaga,Abstención,128961,0
Andalucía,Málaga,Votos en blanco,912,0
Andalucía,Málaga,Votos nulos,6053,0
Andalucía,Málaga,UCD,115390,3
Andalucía,Málaga,PSOE,185095,4
Andalucía,Málaga,PCE,50990,1
Andalucía,Málaga,AP,34838,0
Andalucía,Málaga,PSP-US,22144,0
Andalucía,Málaga,FDC-EDC,3942,0
Andalucía,Málaga,FDI,5106,0
Andalucía,Málaga,ASDCI,1536,0
Andalucía,Málaga,RSE,7049,0
Andalucía,Málaga,FJONSA,1444,0
Andalucía,Málaga,ANEPA-CP,1124,0
Andalucía,Málaga,MS,3245,0
Andalucía,Málaga,CIPYE,1480,0
Andalucía,Málaga,BAI,226,0
Andalucía,Sevilla,Abstención,149116,0
Andalucía,Sevilla,Votos en blanco,2032,0
Andalucía,Sevilla,Votos nulos,8527,0
Andalucía,Sevilla,UCD,223252,5
Andalucía,Sevilla,PSOE,251336,5
Andalucía,Sevilla,PCE,91914,2
Andalucía,Sevilla,AP,42860,0
Andalucía,Sevilla,PSP-US,33329,0
Andalucía,Sevilla,FDC-EDC,6523,0
Andalucía,Sevilla,FDI,19008,0
Andalucía,Sevilla,ASDCI,4064,0
Andalucía,Sevilla,AET,1736,0
Andalucía,Sevilla,AN18,2197,0
