Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,130953,0
Andalucía,Almería,Votos en blanco,3931,0
Andalucía,Almería,Votos nulos,1650,0
Andalucía,Almería,PP,135531,3
Andalucía,Almería,PSOE-PROGR.,117685,2
Andalucía,Almería,IU,11749,0
Andalucía,Almería,PA,6569,0
Andalucía,Almería,UC-CDS,206,0
Andalucía,Almería,PH,180,0
Andalucía,Almería,PLN,164,0
Andalucía,Almería,FE,161,0
Andalucía,Almería,ES2000,189,0
Andalucía,Almería,PADE,81,0
Andalucía,Almería,IA,638,0
Andalucía,Almería,FEI-FE 2000,137,0
Andalucía,Almería,NA,320,0
Andalucía,Almería,A,83,0
Andalucía,Almería,URAL,838,0
Andalucía,Cádiz,Abstención,326674,0
Andalucía,Cádiz,Votos en blanco,6692,0
Andalucía,Cádiz,Votos nulos,4653,0
Andalucía,Cádiz,PP,228024,4
Andalucía,Cádiz,PSOE-PROGR.,218133,4
Andalucía,Cádiz,IU,36851,0
Andalucía,Cádiz,PA,54570,1
Andalucía,Cádiz,GIL,3006,0
Andalucía,Cádiz,UC-CDS,401,0
Andalucía,Cádiz,PH,596,0
Andalucía,Cádiz,PLN,487,0
Andalucía,Cádiz,FE,338,0
Andalucía,Cádiz,ES2000,342,0
Andalucía,Cádiz,PADE,279,0
Andalucía,Cádiz,IA,1887,0
Andalucía,Cádiz,FEI-FE 2000,321,0
Andalucía,Cádiz,NA,667,0
Andalucía,Cádiz,A,527,0
Andalucía,Cádiz,PPCR,546,0
Andalucía,Córdoba,Abstención,156920,0
Andalucía,Córdoba,Votos en blanco,6001,0
Andalucía,Córdoba,Votos nulos,3356,0
Andalucía,Córdoba,PP,188636,3
Andalucía,Córdoba,PSOE-PROGR.,187195,3
Andalucía,Córdoba,IU,55125,1
Andalucía,Córdoba,PA,20963,0
Andalucía,Córdoba,GIL,564,0
Andalucía,Córdoba,UC-CDS,185,0
Andalucía,Córdoba,PH,290,0
Andalucía,Córdoba,PLN,207,0
Andalucía,Córdoba,FE,178,0
Andalucía,Córdoba,PCPE,560,0
Andalucía,Córdoba,ES2000,105,0
Andalucía,Córdoba,PADE,119,0
Andalucía,Córdoba,IA,861,0
Andalucía,Córdoba,FEI-FE 2000,136,0
Andalucía,Córdoba,NA,221,0
Andalucía,Córdoba,A,349,0
Andalucía,Granada,Abstención,211237,0
Andalucía,Granada,Votos en blanco,5994,0
Andalucía,Granada,Votos nulos,3489,0
Andalucía,Granada,PP,204875,3
Andalucía,Granada,PSOE-PROGR.,213019,4
Andalucía,Granada,IU,34809,0
Andalucía,Granada,PA,16594,0
Andalucía,Granada,GIL,1112,0
Andalucía,Granada,UC-CDS,212,0
Andalucía,Granada,PH,383,0
Andalucía,Granada,PLN,305,0
Andalucía,Granada,PCPE,596,0
Andalucía,Granada,ES2000,182,0
Andalucía,Granada,PADE,263,0
Andalucía,Granada,IA,876,0
