Year,Month,Acronym,Party
2016,06,Ln,"LIBERTAD NAVARRA, LIBERTATE NAFARRA"
2016,06,REPO,RENOVACIO POLITICA
2016,06,INDEPENDIENTES-FIA,INDEPENDIENTES POR ARAGÓN
2016,06,ENTABAN,ENTABAN
2016,06,IMC,INICIATIVA MERINDADES DE CASTILLA
2016,06,PUEDE,PARTIDO UNIONISTA ESTADO DE ESPAÑA
2016,06,FE,LA FALANGE
2016,06,ALCD,ALIANZA DE CENTRO DEMOCRÁTICO
2016,06,FME,LA FUERZA DE LOS MAYORES DE ESPAÑA
2016,06,HRTS-Ln,HEGOALDE RIOJA-LIBERTAD NAVARRA
2016,06,UDT,UNIÓN DE TODOS
