Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,84615,0
Andalucía,Almería,Votos en blanco,1153,0
Andalucía,Almería,Votos nulos,1167,0
Andalucía,Almería,PSOE,126242,3
Andalucía,Almería,PP,98341,2
Andalucía,Almería,IU,25020,0
Andalucía,Almería,CDS,3585,0
Andalucía,Almería,VERDES,1391,0
Andalucía,Almería,PA,3551,0
Andalucía,Almería,LE,487,0
Andalucía,Almería,ARM-ADE,375,0
Andalucía,Almería,PAP,952,0
Andalucía,Almería,GIL,1475,0
Andalucía,Almería,PLN,106,0
Andalucía,Almería,FE-JONS,131,0
Andalucía,Almería,NPS,101,0
Andalucía,Almería,PIAP,466,0
Andalucía,Cádiz,Abstención,233308,0
Andalucía,Cádiz,Votos en blanco,3054,0
Andalucía,Cádiz,Votos nulos,3415,0
Andalucía,Cádiz,PSOE,280715,5
Andalucía,Cádiz,PP,155785,3
Andalucía,Cádiz,IU,61604,1
Andalucía,Cádiz,CDS,4287,0
Andalucía,Cádiz,VERDES,3518,0
Andalucía,Cádiz,PA,15786,0
Andalucía,Cádiz,LE,1620,0
Andalucía,Cádiz,ARM-ADE,2732,0
Andalucía,Cádiz,PAP,27225,0
Andalucía,Cádiz,PST,1250,0
Andalucía,Cádiz,GIL,2455,0
Andalucía,Cádiz,PLN,279,0
Andalucía,Cádiz,PCPE,740,0
Andalucía,Cádiz,PH,189,0
Andalucía,Cádiz,FE-JONS,345,0
Andalucía,Cádiz,NPS,215,0
Andalucía,Córdoba,Abstención,113401,0
Andalucía,Córdoba,Votos en blanco,2301,0
Andalucía,Córdoba,Votos nulos,1625,0
Andalucía,Córdoba,PSOE,230258,4
Andalucía,Córdoba,PP,128898,2
Andalucía,Córdoba,IU,80977,1
Andalucía,Córdoba,CDS,4648,0
Andalucía,Córdoba,VERDES,1530,0
Andalucía,Córdoba,PA,12564,0
Andalucía,Córdoba,LE,956,0
Andalucía,Córdoba,ARM-ADE,457,0
Andalucía,Córdoba,PAP,2264,0
Andalucía,Córdoba,GIL,1298,0
Andalucía,Córdoba,PLN,134,0
Andalucía,Córdoba,PCPE,885,0
Andalucía,Córdoba,PH,123,0
Andalucía,Córdoba,FE-JONS,195,0
Andalucía,Córdoba,NPS,110,0
Andalucía,Granada,Abstención,147156,0
Andalucía,Granada,Votos en blanco,2167,0
Andalucía,Granada,Votos nulos,1608,0
