Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,64044,0
Andalucía,Almería,Votos en blanco,1393,0
Andalucía,Almería,Votos nulos,4670,0
Andalucía,Almería,PSOE,119903,4
Andalucía,Almería,AP-PDP,48280,1
Andalucía,Almería,UCD,23294,0
Andalucía,Almería,PCE,5504,0
Andalucía,Almería,CDS,3666,0
Andalucía,Almería,FN,1251,0
Andalucía,Almería,PSA-PA,2558,0
Andalucía,Almería,SE,351,0
Andalucía,Almería,UCE,323,0
Andalucía,Almería,PCE (M-L),328,0
Andalucía,Almería,CUC,476,0
Andalucía,Almería,MFE,235,0
Andalucía,Cádiz,Abstención,158397,0
Andalucía,Cádiz,Votos en blanco,1421,0
Andalucía,Cádiz,Votos nulos,7880,0
Andalucía,Cádiz,PSOE,308571,6
Andalucía,Cádiz,AP-PDP,97314,2
Andalucía,Cádiz,UCD,22728,0
Andalucía,Cádiz,PCE,20749,0
Andalucía,Cádiz,CDS,8473,0
Andalucía,Cádiz,FN,1209,0
Andalucía,Cádiz,PST,3474,0
Andalucía,Cádiz,PSA-PA,16654,0
Andalucía,Cádiz,SE,902,0
Andalucía,Cádiz,PCOE,1753,0
Andalucía,Cádiz,UCE,531,0
Andalucía,Cádiz,PCE (M-L),498,0
Andalucía,Cádiz,MFE,352,0
Andalucía,Córdoba,Abstención,79249,0
Andalucía,Córdoba,Votos en blanco,5264,0
Andalucía,Córdoba,Votos nulos,8875,0
Andalucía,Córdoba,PSOE,243428,5
Andalucía,Córdoba,AP-PDP,90023,2
Andalucía,Córdoba,UCD,28414,0
Andalucía,Córdoba,PCE,37555,0
Andalucía,Córdoba,CDS,5358,0
Andalucía,Córdoba,FN,1556,0
Andalucía,Córdoba,PST,1886,0
Andalucía,Córdoba,PSA-PA,9270,0
Andalucía,Córdoba,SE,489,0
Andalucía,Córdoba,PCOE,956,0
Andalucía,Córdoba,UCE,285,0
Andalucía,Córdoba,PCE (M-L),175,0
Andalucía,Córdoba,CUC,473,0
Andalucía,Córdoba,LC (COSI),265,0
Andalucía,Granada,Abstención,123773,0
Andalucía,Granada,Votos en blanco,1079,0
Andalucía,Granada,Votos nulos,3905,0
Andalucía,Granada,PSOE,234154,5
Andalucía,Granada,AP-PDP,97554,2
Andalucía,Granada,UCD,27897,0
Andalucía,Granada,PCE,28636,0
Andalucía,Granada,CDS,7276,0
Andalucía,Granada,FN,2029,0
Andalucía,Granada,PSA-PA,4939,0
Andalucía,Granada,SE,454,0
Andalucía,Granada,UCE,249,0
Andalucía,Granada,PCE (M-L),252,0
Andalucía,Granada,CUC,369,0
Andalucía,Granada,MFE,316,0
Andalucía,Huelva,Abstención,65215,0
Andalucía,Huelva,Votos en blanco,563,0
Andalucía,Huelva,Votos nulos,3019,0
Andalucía,Huelva,PSOE,139420,4
Andalucía,Huelva,AP-PDP,45755,1
Andalucía,Huelva,UCD,17174,0
Andalucía,Huelva,PCE,7976,0
Andalucía,Huelva,CDS,3003,0
Andalucía,Huelva,FN,696,0
Andalucía,Huelva,PST,812,0
Andalucía,Huelva,PSA-PA,3752,0
Andalucía,Huelva,SE,259,0
Andalucía,Huelva,UCE,266,0
Andalucía,Huelva,CUC,238,0
Andalucía,Huelva,MFE,137,0
Andalucía,Jaén,Abstención,81201,0
Andalucía,Jaén,Votos en blanco,604,0
Andalucía,Jaén,Votos nulos,3651,0
Andalucía,Jaén,PSOE,207754,5
Andalucía,Jaén,AP-PDP,83833,2
Andalucía,Jaén,UCD,32456,0
Andalucía,Jaén,PCE,26829,0
Andalucía,Jaén,CDS,3363,0
Andalucía,Jaén,FN,1789,0
Andalucía,Jaén,PST,986,0
Andalucía,Jaén,PSA-PA,4750,0
Andalucía,Jaén,SE,211,0
Andalucía,Jaén,UCE,214,0
Andalucía,Jaén,CUC,425,0
Andalucía,Jaén,MFE,285,0
Andalucía,Jaén,PAE,222,0
Andalucía,Málaga,Abstención,174290,0
Andalucía,Málaga,Votos en blanco,1401,0
Andalucía,Málaga,Votos nulos,5541,0
Andalucía,Málaga,PSOE,315092,6
Andalucía,Málaga,AP-PDP,118369,2
Andalucía,Málaga,UCD,19435,0
Andalucía,Málaga,PCE,26935,0
Andalucía,Málaga,CDS,7637,0
Andalucía,Málaga,FN,1298,0
Andalucía,Málaga,PST,2420,0
Andalucía,Málaga,PSA-PA,11770,0
Andalucía,Málaga,SE,929,0
Andalucía,Málaga,PCOE,1333,0
Andalucía,Málaga,UCE,331,0
Andalucía,Málaga,PCE (M-L),323,0
Andalucía,Málaga,CUC,509,0
Andalucía,Málaga,MFE,315,0
Andalucía,Málaga,LC (COSI),55,0
Andalucía,Málaga,FE-JONS,22,0
Andalucía,Málaga,LCR-MC,86,0
Andalucía,Sevilla,Abstención,188753,0
Andalucía,Sevilla,Votos en blanco,2271,0
Andalucía,Sevilla,Votos nulos,12322,0
Andalucía,Sevilla,PSOE,496543,8
Andalucía,Sevilla,AP-PDP,176054,3
Andalucía,Sevilla,UCD,30004,0
Andalucía,Sevilla,PCE,57272,1
Andalucía,Sevilla,CDS,5775,0
Andalucía,Sevilla,FN,2227,0
Andalucía,Sevilla,PST,2568,0
Andalucía,Sevilla,PSA-PA,23375,0
Andalucía,Sevilla,SE,718,0
Andalucía,Sevilla,PCOE,2017,0
Andalucía,Sevilla,UCE,335,0
Andalucía,Sevilla,PCE (M-L),520,0
Andalucía,Sevilla,MFE,376,0
Andalucía,Sevilla,LC (COSI),599,0
Andalucía,Sevilla,FE-I,341,0
Aragón,Huesca,Abstención,31285,0
Aragón,Huesca,Votos en blanco,827,0
Aragón,Huesca,Votos nulos,5080,0
Aragón,Huesca,PSOE,63103,2
Aragón,Huesca,AP-PDP,33945,1
Aragón,Huesca,UCD,19234,0
Aragón,Huesca,PCE,3314,0
Aragón,Huesca,CDS,6375,0
Aragón,Huesca,FN,407,0
