Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,103905,0
Andalucía,Almería,Votos en blanco,791,0
Andalucía,Almería,Votos nulos,1646,0
Andalucía,Almería,PSOE,115587,4
Andalucía,Almería,PP,51421,1
Andalucía,Almería,IU,18697,0
Andalucía,Almería,CDS,19523,0
Andalucía,Almería,RUIZ-MATEOS,4176,0
Andalucía,Almería,PA,5116,0
Andalucía,Almería,LV-LV,2062,0
Andalucía,Almería,PTE-UC,701,0
Andalucía,Almería,PST,650,0
Andalucía,Almería,PCPE,274,0
Andalucía,Almería,PH,142,0
Andalucía,Almería,AR,184,0
Andalucía,Almería,PED,111,0
Andalucía,Cádiz,Abstención,276097,0
Andalucía,Cádiz,Votos en blanco,2464,0
Andalucía,Cádiz,Votos nulos,3896,0
Andalucía,Cádiz,PSOE,243410,6
Andalucía,Cádiz,PP,76688,1
Andalucía,Cádiz,IU,44871,1
Andalucía,Cádiz,CDS,19905,0
Andalucía,Cádiz,RUIZ-MATEOS,16225,0
Andalucía,Cádiz,PA,53173,1
Andalucía,Cádiz,LV-LV,3928,0
Andalucía,Cádiz,LVE,2791,0
Andalucía,Cádiz,PTE-UC,1501,0
Andalucía,Cádiz,PST,1789,0
Andalucía,Cádiz,PCPE,861,0
Andalucía,Cádiz,FE-JONS,515,0
Andalucía,Cádiz,PH,383,0
Andalucía,Cádiz,AR,408,0
Andalucía,Cádiz,PED,276,0
Andalucía,Córdoba,Abstención,139571,0
Andalucía,Córdoba,Votos en blanco,1565,0
Andalucía,Córdoba,Votos nulos,2391,0
Andalucía,Córdoba,PSOE,207503,5
Andalucía,Córdoba,PP,76561,1
Andalucía,Córdoba,IU,77106,1
Andalucía,Córdoba,CDS,21110,0
Andalucía,Córdoba,RUIZ-MATEOS,4893,0
Andalucía,Córdoba,PA,24714,0
Andalucía,Córdoba,LV-LV,1343,0
Andalucía,Córdoba,LVE,1153,0
Andalucía,Córdoba,PTE-UC,1504,0
Andalucía,Córdoba,PST,1271,0
Andalucía,Córdoba,PCPE,705,0
Andalucía,Córdoba,FE-JONS,368,0
Andalucía,Córdoba,PH,214,0
Andalucía,Córdoba,AR,216,0
Andalucía,Córdoba,PED,160,0
Andalucía,Granada,Abstención,183651,0
Andalucía,Granada,Votos en blanco,2253,0
Andalucía,Granada,Votos nulos,2362,0
Andalucía,Granada,PSOE,204596,4
Andalucía,Granada,PP,100619,2
Andalucía,Granada,IU,47067,1
Andalucía,Granada,CDS,24619,0
Andalucía,Granada,RUIZ-MATEOS,5613,0
Andalucía,Granada,PA,10824,0
Andalucía,Granada,LV-LV,3833,0
Andalucía,Granada,LVE,2179,0
Andalucía,Granada,PTE-UC,4310,0
Andalucía,Granada,PST,1042,0
Andalucía,Granada,PCPE,800,0
Andalucía,Granada,FE-JONS,460,0
Andalucía,Granada,PH,219,0
Andalucía,Granada,AR,191,0
Andalucía,Granada,PED,174,0
Andalucía,Huelva,Abstención,108513,0
Andalucía,Huelva,Votos en blanco,940,0
Andalucía,Huelva,Votos nulos,1032,0
Andalucía,Huelva,PSOE,123126,4
Andalucía,Huelva,PP,41173,1
Andalucía,Huelva,IU,16278,0
Andalucía,Huelva,CDS,9846,0
Andalucía,Huelva,RUIZ-MATEOS,3223,0
Andalucía,Huelva,PA,10618,0
Andalucía,Huelva,LV-LV,1096,0
Andalucía,Huelva,LVE,1157,0
Andalucía,Huelva,PTE-UC,998,0
Andalucía,Huelva,PST,1148,0
Andalucía,Huelva,PCPE,262,0
Andalucía,Huelva,FE-JONS,205,0
Andalucía,Huelva,PH,151,0
Andalucía,Huelva,PED,98,0
Andalucía,Jaén,Abstención,113620,0
Andalucía,Jaén,Votos en blanco,1171,0
Andalucía,Jaén,Votos nulos,2858,0
Andalucía,Jaén,PSOE,197733,4
Andalucía,Jaén,PP,88906,2
Andalucía,Jaén,IU,42112,0
Andalucía,Jaén,CDS,17576,0
Andalucía,Jaén,RUIZ-MATEOS,2540,0
Andalucía,Jaén,PA,9010,0
Andalucía,Jaén,LV-LV,1369,0
Andalucía,Jaén,LVE,1231,0
Andalucía,Jaén,PTE-UC,777,0
Andalucía,Jaén,PST,1139,0
Andalucía,Jaén,PCPE,1089,0
Andalucía,Jaén,FE-JONS,345,0
Andalucía,Jaén,PH,166,0
Andalucía,Jaén,AR,203,0
Andalucía,Málaga,Abstención,269912,0
Andalucía,Málaga,Votos en blanco,2107,0
Andalucía,Málaga,Votos nulos,3405,0
Andalucía,Málaga,PSOE,263147,7
Andalucía,Málaga,PP,99352,2
Andalucía,Málaga,IU,69522,1
Andalucía,Málaga,CDS,28434,0
Andalucía,Málaga,RUIZ-MATEOS,6783,0
Andalucía,Málaga,PA,26201,0
Andalucía,Málaga,LV-LV,3790,0
Andalucía,Málaga,LVE,4739,0
Andalucía,Málaga,PTE-UC,1652,0
Andalucía,Málaga,PST,1987,0
Andalucía,Málaga,PCPE,827,0
Andalucía,Málaga,FE-JONS,722,0
Andalucía,Málaga,PH,351,0
Andalucía,Málaga,AR,285,0
Andalucía,Málaga,PED,253,0
Andalucía,Sevilla,Abstención,325772,0
Andalucía,Sevilla,Votos en blanco,4083,0
Andalucía,Sevilla,Votos nulos,6518,0
Andalucía,Sevilla,PSOE,438615,8
Andalucía,Sevilla,PP,153905,2
Andalucía,Sevilla,IU,93080,1
Andalucía,Sevilla,CDS,18420,0
Andalucía,Sevilla,RUIZ-MATEOS,8163,0
Andalucía,Sevilla,PA,73031,1
Andalucía,Sevilla,LV-LV,4823,0
Andalucía,Sevilla,LVE,2474,0
Andalucía,Sevilla,PTE-UC,6277,0
Andalucía,Sevilla,PST,1830,0
Andalucía,Sevilla,PCPE,1760,0
Andalucía,Sevilla,FE-JONS,798,0
Andalucía,Sevilla,VERDE,1436,0
Andalucía,Sevilla,PH,484,0
Andalucía,Sevilla,AR,391,0
Andalucía,Sevilla,PED,185,0
Andalucía,Sevilla,P.PR.,245,0
Aragón,Huesca,Abstención,50548,0
Aragón,Huesca,Votos en blanco,1051,0
Aragón,Huesca,Votos nulos,1285,0
Aragón,Huesca,PSOE,47491,2
Aragón,Huesca,PP,29938,1
Aragón,Huesca,IU,9074,0
Aragón,Huesca,CDS,10015,0
Aragón,Huesca,RUIZ-MATEOS,1058,0
Aragón,Huesca,LVE,1405,0
Aragón,Huesca,PTE-UC,368,0
Aragón,Huesca,PST,870,0
Aragón,Huesca,PAR,14260,0
Aragón,Huesca,PCPE,237,0
Aragón,Huesca,FE-JONS,103,0
Aragón,Huesca,CSD,412,0
Aragón,Huesca,PH,118,0
Aragón,Huesca,AR,120,0
Aragón,Huesca,UA-CH.A,875,0
Aragón,Teruel,Abstención,34799,0
Aragón,Teruel,Votos en blanco,585,0
Aragón,Teruel,Votos nulos,731,0
Aragón,Teruel,PSOE,33744,2
Aragón,Teruel,PP,27695,1
Aragón,Teruel,IU,3580,0
Aragón,Teruel,CDS,7319,0
Aragón,Teruel,RUIZ-MATEOS,497,0
Aragón,Teruel,LV-LV,291,0
Aragón,Teruel,LVE,365,0
Aragón,Teruel,PTE-UC,354,0
Aragón,Teruel,PST,410,0
Aragón,Teruel,PAR,8894,0
Aragón,Teruel,PCPE,88,0
Aragón,Teruel,FE-JONS,97,0
Aragón,Teruel,PH,74,0
Aragón,Teruel,UA-CH.A,203,0
Aragón,Zaragoza,Abstención,196608,0
Aragón,Zaragoza,Votos en blanco,3952,0
Aragón,Zaragoza,Votos nulos,2897,0
