Region,Constituency,Option,Votes,Seats
Andalucía,Almería,Abstención,122583,0
Andalucía,Almería,Votos en blanco,2528,0
Andalucía,Almería,Votos nulos,1486,0
Andalucía,Almería,P.S.O.E.,136887,3
Andalucía,Almería,P.P.,162531,3
Andalucía,Almería,I.U.,8755,0
Andalucía,Almería,UPyD,1820,0
Andalucía,Almería,CA,1772,0
Andalucía,Almería,C's,211,0
Andalucía,Almería,PACMA,436,0
Andalucía,Almería,VERDES,840,0
Andalucía,Almería,PUM+J,188,0
Andalucía,Almería,P.S.D.,354,0
Andalucía,Almería,P.C.P.E.,290,0
Andalucía,Almería,FE de las JONS,159,0
Andalucía,Almería,D.N.,105,0
Andalucía,Almería,PFyV,102,0
Andalucía,Almería,PH,126,0
Andalucía,Almería,PdeAL,8451,0
Andalucía,Almería,AES,42,0
Andalucía,Almería,E-2000,91,0
Andalucía,Almería,A.u.N.,44,0
Andalucía,Almería,C.D.S.,114,0
Andalucía,Cádiz,Abstención,312585,0
Andalucía,Cádiz,Votos en blanco,6639,0
Andalucía,Cádiz,Votos nulos,4140,0
Andalucía,Cádiz,P.S.O.E.,328822,5
Andalucía,Cádiz,P.P.,245830,4
Andalucía,Cádiz,I.U.,30958,0
Andalucía,Cádiz,UPyD,5572,0
Andalucía,Cádiz,CA,16058,0
Andalucía,Cádiz,C's,558,0
Andalucía,Cádiz,PACMA,1547,0
Andalucía,Cádiz,VERDES,2531,0
Andalucía,Cádiz,PUM+J,629,0
Andalucía,Cádiz,P.S.D.,1085,0
Andalucía,Cádiz,P.C.P.E.,795,0
Andalucía,Cádiz,FE de las JONS,291,0
Andalucía,Cádiz,D.N.,368,0
Andalucía,Cádiz,PFyV,374,0
Andalucía,Cádiz,PH,389,0
Andalucía,Cádiz,AES,343,0
Andalucía,Cádiz,F.A.,219,0
Andalucía,Cádiz,PPCr,300,0
Andalucía,Córdoba,Abstención,155632,0
Andalucía,Córdoba,Votos en blanco,5460,0
Andalucía,Córdoba,Votos nulos,2970,0
Andalucía,Córdoba,P.S.O.E.,246470,4
Andalucía,Córdoba,P.P.,182307,2
Andalucía,Córdoba,I.U.,34131,0
Andalucía,Córdoba,UPyD,2797,0
Andalucía,Córdoba,CA,7972,0
Andalucía,Córdoba,C's,356,0
Andalucía,Córdoba,PACMA,591,0
Andalucía,Córdoba,VERDES,1229,0
Andalucía,Córdoba,PUM+J,815,0
Andalucía,Córdoba,P.S.D.,517,0
Andalucía,Córdoba,P.C.P.E.,418,0
Andalucía,Córdoba,FE de las JONS,259,0
Andalucía,Córdoba,D.N.,194,0
Andalucía,Córdoba,PFyV,219,0
Andalucía,Córdoba,PH,207,0
Andalucía,Córdoba,AES,371,0
Andalucía,Córdoba,SAIn,321,0
Andalucía,Córdoba,A.u.N.,77,0
Andalucía,Granada,Abstención,184298,0
Andalucía,Granada,Votos en blanco,4600,0
Andalucía,Granada,Votos nulos,2766,0
Andalucía,Granada,P.S.O.E.,264974,4
Andalucía,Granada,P.P.,217874,3
Andalucía,Granada,I.U.,26615,0
Andalucía,Granada,UPyD,5308,0
Andalucía,Granada,CA,4747,0
Andalucía,Granada,C's,450,0
Andalucía,Granada,PACMA,748,0
Andalucía,Granada,VERDES,2010,0
Andalucía,Granada,PUM+J,591,0
Andalucía,Granada,P.S.D.,484,0
Andalucía,Granada,P.C.P.E.,238,0
Andalucía,Granada,CENB,274,0
Andalucía,Granada,FE de las JONS,205,0
Andalucía,Granada,D.N.,155,0
Andalucía,Granada,PFyV,217,0
Andalucía,Granada,PH,133,0
Andalucía,Granada,AES,113,0
Andalucía,Granada,E-2000,127,0
Andalucía,Granada,F.A.,161,0
Andalucía,Granada,SAIn,162,0
Andalucía,Granada,A.u.N.,73,0
Andalucía,Granada,FRENTE,64,0
Andalucía,Huelva,Abstención,116337,0
Andalucía,Huelva,Votos en blanco,2603,0
Andalucía,Huelva,Votos nulos,1804,0
Andalucía,Huelva,P.S.O.E.,149494,3
Andalucía,Huelva,P.P.,93984,2
Andalucía,Huelva,I.U.,13210,0
Andalucía,Huelva,UPyD,2319,0
Andalucía,Huelva,CA,4110,0
Andalucía,Huelva,C's,167,0
Andalucía,Huelva,PACMA,350,0
Andalucía,Huelva,VERDES,721,0
Andalucía,Huelva,PUM+J,210,0
Andalucía,Huelva,P.S.D.,433,0
Andalucía,Huelva,P.C.P.E.,207,0
